,Name,Awards,Tittles,Year
0,Johnny Depp,Nominee Oscar,Best Performance by an Actor in a Leading Role,2008
1,Johnny Depp,Nominee Oscar,Best Performance by an Actor in a Leading Role,2005
2,Johnny Depp,Nominee Oscar,Best Actor in a Leading Role,2004
3,Johnny Depp,Nominee Saturn Award,Best Actor,2008
4,Johnny Depp,Nominee Saturn Award,Best Actor,2005
5,Johnny Depp,Nominee Saturn Award,Best Actor,2004
6,Johnny Depp,Nominee Saturn Award,Best Actor,2002
7,Johnny Depp,Nominee Saturn Award,Best Actor,2000
8,Johnny Depp,Winner Blockbuster Entertainment Award,Favorite Actor - Horror,2000
9,Johnny Depp,Nominee BAFTA Children,Best Feature Film,2012
10,Johnny Depp,Nominee BAFTA Film Award,Best Performance by an Actor in a Leading Role,2005
11,Johnny Depp,Nominee BAFTA Film Award,Best Performance by an Actor in a Leading Role,2004
12,Johnny Depp,Nominee British Independent Film Award,Best Actor,2005
13,Johnny Depp,Nominee Critics Choice Award,Best Actor,2016
14,Johnny Depp,Nominee Critics Choice Award,Best Actor,2008
15,Johnny Depp,Nominee Critics Choice Award,Best Acting Ensemble,2008
16,Johnny Depp,Nominee Critics Choice Award,Best Actor,2005
17,Johnny Depp,Nominee Critics Choice Award,Best Actor,2004
18,Johnny Depp,Nominee Palme d,None,1997
19,Johnny Depp,Nominee Golden Camera,None,1997
20,Johnny Depp,Winner Honorary C,None,1999
21,Johnny Depp,Nominee CFCA Award,Best Actor,2004
22,Johnny Depp,Nominee CFCA Award,Best Actor,1995
23,Johnny Depp,Nominee DFWFCA Award,Best Actor,2015
24,Johnny Depp,Nominee DFWFCA Award,Best Actor,2005
25,Johnny Depp,Nominee DFWFCA Award,Best Actor,2004
26,Johnny Depp,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2011
27,Johnny Depp,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2011
28,Johnny Depp,Winner Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2008
29,Johnny Depp,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2007
30,Johnny Depp,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2006
31,Johnny Depp,Nominee Satellite Award,Best Actor in a Motion Picture,2016
32,Johnny Depp,Winner Special Achievement Award,"Best Ensemble, Motion Picture",2015
33,Johnny Depp,Nominee Satellite Award,"Best Actor in a Motion Picture, Drama",2009
34,Johnny Depp,Nominee Golden Satellite Award,"Best Actor in a Motion Picture, Drama",2005
35,Johnny Depp,Nominee Golden Satellite Award,"Best Actor in a Motion Picture, Comedy or Musical",2004
36,Johnny Depp,Winner Actor of the Year,None,2003
37,Johnny Depp,Winner Distinguished Artisan Award,None,2014
38,Johnny Depp,Nominee IDA Award,Best Music Documentary,2021
39,Johnny Depp,Nominee Audience Award,Best International Actor,2005
40,Johnny Depp,Winner Audience Award,Best International Actor,2004
41,Johnny Depp,Nominee Blimp Award,Favorite Movie Actor,2014
42,Johnny Depp,Nominee Blimp Award,Favorite Male Butt Kicker,2014
43,Johnny Depp,Winner Blimp Award,Favorite Movie Actor,2013
44,Johnny Depp,Nominee Blimp Award,Favorite Movie Actor,2012
45,Johnny Depp,Nominee Blimp Award,Favorite Voice from an Animated Movie,2012
46,Johnny Depp,Nominee Sierra Award,Best Actor,2004
47,Johnny Depp,Nominee ALFS Award,Actor of the Year,2006
48,Johnny Depp,Nominee ALFS Award,Actor of the Year,2005
49,Johnny Depp,Winner ALFS Award,Actor of the Year,1996
50,Johnny Depp,Nominee MTV Movie Award,Best On-Screen Transformation,2012
51,Johnny Depp,Winner MTV Generation Award,None,2012
52,Johnny Depp,Nominee MTV Movie Award,Global Superstar,2010
53,Johnny Depp,Winner MTV Movie Award,Best Comedic Performance,2008
54,Johnny Depp,Winner MTV Movie Award,Best Villain,2008
55,Johnny Depp,Winner Honorable Mention,Lifetime Achievement,2021
56,Johnny Depp,Nominee OFCS Award,Best Actor,2004
57,Johnny Depp,Winner Desert Palm Achievement Award,None,2016
58,Johnny Depp,Winner People,Favorite Movie Icon,2017
59,Johnny Depp,Winner People,Favorite Dramatic Movie Actor,2016
60,Johnny Depp,Nominee People,Favorite Movie Actor,2016
61,Johnny Depp,Winner People,Favorite Movie Actor,2014
62,Johnny Depp,Nominee People,Favorite Movie Actor,2013
63,Johnny Depp,Nominee Razzie Award,Worst Actor,2019
64,Johnny Depp,Nominee Razzie Award,Worst Screen Combo,2019
65,Johnny Depp,Nominee Razzie Award,Worst Actor,2018
66,Johnny Depp,Nominee Razzie Award,Worst Screen Combo,2018
67,Johnny Depp,Nominee Razzie Award,Worst Supporting Actor,2017
68,Johnny Depp,Winner Rembrandt Award,Best International Actor (Beste Buitenlandse Acteur),2011
69,Johnny Depp,Winner Rembrandt Award,Best International Actor (Beste Buitenlandse Acteur),2008
70,Johnny Depp,Winner Rembrandt Award,Best International Actor (Beste Buitenlandse Acteur),2007
71,Johnny Depp,Winner Golden Aries,Best Foreign Actor,1998
72,Johnny Depp,Winner Donostia Lifetime Achievement Award,None,2021
73,Johnny Depp,Winner Modern Master Award,None,2016
74,Johnny Depp,Nominee Actor,Outstanding Performance by a Male Actor in a Leading Role,2016
75,Johnny Depp,Nominee Actor,Outstanding Performance by a Male Actor in a Leading Role,2005
76,Johnny Depp,Nominee Actor,Outstanding Performance by a Cast in a Motion Picture,2005
77,Johnny Depp,Winner Actor,Outstanding Performance by a Male Actor in a Leading Role,2004
78,Johnny Depp,Nominee Actor,Outstanding Performance by the Cast of a Theatrical Motion Picture,2001
79,Johnny Depp,Winner SFX Award,Best Actor,2007
80,Johnny Depp,Winner SFX Award,Best Actor,2004
81,Johnny Depp,Winner ShoWest Award,Male Star of Tomorrow,1990
82,Johnny Depp,Nominee Teen Choice Award,Choice Movie Villain,2019
83,Johnny Depp,Nominee Teen Choice Award,Choice Movie Actor: Action,2017
84,Johnny Depp,Nominee Teen Choice Award,Choice: Fight,2017
85,Johnny Depp,Nominee Teen Choice Award,Choice Movie: Chemistry,2013
86,Johnny Depp,Nominee Teen Choice Award,Choice Summer Movie Star: Male,2013
87,Johnny Depp,Winner Fondazione Mimmo Rotella Special Award,None,2015
88,Johnny Depp,Winner Star on the Walk of Fame,Motion Picture,1999
89,Johnny Depp,Nominee Young Artist Award,Exceptional Performance by a Young Actor in a Supporting Role - TV Special or Movie of the Week,1987
90,Johnny Depp,Nominee Young Artist Award,"Best Young Supporting Actor in a Motion Picture Musical, Comedy, Adventure or Drama",1985
91,Johnny Depp,Nominee Empire Award,Best Actor,2009
92,Johnny Depp,Nominee Empire Award,Best Actor,2007
93,Johnny Depp,Winner Empire Award,Best Actor,2006
94,Johnny Depp,Nominee Empire Award,Best Actor,2005
95,Johnny Depp,Winner Empire Award,Best Actor,2004
96,Johnny Depp,Winner MTV Movie Award,Best Look (Mejor Look),2004
97,Johnny Depp,Winner Honorary Award,None,2021
98,Johnny Depp,Nominee PFCS Award,Best Actor in a Leading Role,2015
99,Johnny Depp,Nominee PFCS Award,Best Ensemble Acting,2014
100,Johnny Depp,Nominee PFCS Award,Best Performance by an Actor in a Leading Role,2004
101,Johnny Depp,Nominee Chlotrudis Award,Best Actor,1998
102,Johnny Depp,Nominee Chainsaw Award,Best Actor,2005
103,Johnny Depp,Nominee Chainsaw Award,Best Actor,2002
104,Johnny Depp,Winner Chainsaw Award,Best Actor,2000
105,Johnny Depp,Winner Career Achievement Award,None,2009
106,Johnny Depp,Nominee COFCA Award,Best Actor,2016
107,Johnny Depp,Nominee WAFCA Award,Best Actor,2015
108,Johnny Depp,Nominee WAFCA Award,Best Acting Ensemble,2014
109,Johnny Depp,Nominee WAFCA Award,Best Actor,2003
110,Johnny Depp,Winner NRJ Cin,Best Look (Meilleur Look),2006
111,Johnny Depp,Nominee NRJ Cin,Sexiest Actor (Acteur le plus sexy),2004
112,Johnny Depp,Winner National Movie Award,Screen Icon,2011
113,Johnny Depp,Winner National Movie Award,Best Performance - Male,2008
114,Johnny Depp,Nominee National Movie Award,Best Performance by a Male,2007
115,Johnny Depp,Nominee Festival Award,Best Supporting Actor in a Short Film,2017
116,Johnny Depp,Nominee EDA Award,Best Picture,2012
117,Johnny Depp,Nominee EDA Award,Best Actor,2007
118,Johnny Depp,Nominee DFCS Award,Best Ensemble,2014
119,Johnny Depp,Nominee Scream Award,Best Fantasy Actor,2011
120,Johnny Depp,Nominee Scream Award,Best Fantasy Actor,2010
121,Johnny Depp,Winner Scream Award,Fantasy Hero,2007
122,Johnny Depp,Winner Scream Award,Most Heroic Performance,2006
123,Johnny Depp,Winner Nickelodeon Kid,Best Movie Actor,2007
124,Johnny Depp,Nominee Jupiter Award,Best International Actor,2012
125,Johnny Depp,Winner Jupiter Award,Best International Actor,2008
126,Johnny Depp,Winner Jupiter Award,Best International Actor,2007
127,Johnny Depp,Nominee Jupiter Award,Best International Actor,2006
128,Johnny Depp,Nominee Jupiter Award,Best International Actor,2005
129,Johnny Depp,Nominee OFTA Film Award,Best Picture,2012
130,Johnny Depp,Nominee OFTA Film Award,Best Actor,2004
131,Johnny Depp,Nominee VVFP Award,Best Performance,2003
132,Johnny Depp,Nominee ACCA,Best Motion Picture,2011
133,Johnny Depp,Nominee ACCA,Best Actor in a Leading Role,2007
134,Johnny Depp,Winner ACCA,Best Actor in a Leading Role,2003
135,Johnny Depp,Nominee ACCA,Best Actor in a Leading Role,1994
136,Johnny Depp,Nominee ACCA,Best Cast Ensemble,1994
137,Johnny Depp,Nominee IOMA,Best Actor (Miglior attore protagonista),2008
138,Johnny Depp,Nominee IOMA,Best Actor (Miglior attore protagonista),2006
139,Johnny Depp,Nominee IOMA,Best Actor (Miglior attore protagonista),2004
140,Johnny Depp,Nominee Huading Award,Best Global Actor in a Motion Picture,2016
141,Johnny Depp,Nominee Golden Schmoes,Best Actor of the Year,2015
142,Johnny Depp,Nominee Golden Schmoes,Best Actor of the Year,2007
143,Johnny Depp,Winner Golden Schmoes,Favorite Celebrity of the Year,2007
144,Johnny Depp,Nominee Golden Schmoes,Best Actor of the Year,2004
145,Johnny Depp,Winner Golden Schmoes,Favorite Celebrity of the Year,2004
146,Johnny Depp,Winner WFCC Award,Most Offensive Male Character,2005
147,Johnny Depp,Nominee INOCA,Best Actor,2004
148,Johnny Depp,Nominee Stinker Award,Worst On-Screen Couple,2001
149,Johnny Depp,Nominee Stinker Award,Worst On-Screen Couple,1998
150,Johnny Depp,Nominee Red Nation Film Award of Excellence,Outstanding Performance by an Actor in Leading Role,2013
151,Johnny Depp,Nominee Nexty,Coolest Cameo,2013
152,Johnny Depp,Nominee NAVGTR Award,"Performance in a Comedy, Lead",2007
153,Johnny Depp,Nominee VGA,Best Performance by a Human Male,2006
154,Johnny Depp,Nominee Gold Derby Film Award,Ensemble Cast,2015
155,Johnny Depp,Nominee Gold Derby Film Award,Performer of the Decade,2010
156,Johnny Depp,Nominee Gold Derby Film Award,Lead Actor of the Decade,2010
157,Johnny Depp,Nominee Gold Derby Film Award,Lead Actor,2008
158,Johnny Depp,Nominee Gold Derby Film Award,Lead Actor,2004
159,Johnny Depp,Nominee Movies for Grownups Award,Best Actor,2016
160,Johnny Depp,Winner Yoga Award,Worst Foreign Actor,2016
161,Johnny Depp,Winner Yoga Award,Worst Foreign Costumes & Makeup,2004
162,Johnny Depp,Nominee Bravo Otto Germany,Best Actor (Schauspieler),2012
163,Johnny Depp,Nominee Bravo Otto Germany,Best Actor (Schauspieler),2011
164,Johnny Depp,Nominee Bravo Otto Germany,Best Actor/Actress (Schauspieler/in),2010
165,Johnny Depp,Nominee Bravo Otto Germany,Best Actor (Schauspieler),2007
166,Johnny Depp,Winner Bravo Otto Germany,Best Actor (Schauspieler),2006
167,Johnny Depp,Nominee Felix,Best Actor,2016
168,Johnny Depp,Nominee Felix,Best Actor,2015
169,Johnny Depp,Nominee Felix,Best Actor,2011
170,Johnny Depp,Nominee AACTA International Award,Best Film,2012
171,Johnny Depp,Nominee Georges Award,Best Foreign Actor of the Year,2016
172,Johnny Depp,Nominee Georges Award,Best Foreign Actor of the Decade,2014
173,Johnny Depp,Nominee Georges Award,Best Foreign Actor of the Year,2014
174,Johnny Depp,Nominee Georges Award,Best Foreign Actor of the Year,2013
175,Johnny Depp,Nominee Georges Award,Best Foreign Actor of the Year,2012
176,Johnny Depp,Nominee Odyssey Award,Worst Acting Performance,2016
177,Al Pacino,Nominee Oscar,Best Performance by an Actor in a Supporting Role,2020
178,Al Pacino,Winner Oscar,Best Actor in a Leading Role,1993
179,Al Pacino,Nominee Oscar,Best Actor in a Supporting Role,1993
180,Al Pacino,Nominee Oscar,Best Actor in a Supporting Role,1991
181,Al Pacino,Nominee Oscar,Best Actor in a Leading Role,1980
182,Al Pacino,Nominee Saturn Award,Best Actor,1998
183,Al Pacino,Nominee Saturn Award,Best Supporting Actor,1991
184,Al Pacino,Winner American Comedy Award,Funniest Supporting Actor in a Motion Picture,1991
185,Al Pacino,Winner Life Achievement Award,None,2007
186,Al Pacino,Nominee Blockbuster Entertainment Award,Favorite Actor - Drama,2000
187,Al Pacino,Winner BSFC Award,Best Actor,1997
188,Al Pacino,Nominee BAFTA Film Award,Best Supporting Actor,2020
189,Al Pacino,Nominee BAFTA Film Award,Best Actor in a Supporting Role,1991
190,Al Pacino,Winner BAFTA Film Award,Best Actor,1976
191,Al Pacino,Nominee BAFTA Film Award,Best Actor,1975
192,Al Pacino,Nominee BAFTA Film Award,Most Promising Newcomer to Leading Film Roles,1973
193,Al Pacino,Nominee Critics Choice Award,Best Supporting Actor,2020
194,Al Pacino,Nominee Golden Camera,None,1996
195,Al Pacino,Nominee CFCA Award,Best Supporting Actor,2019
196,Al Pacino,Nominee CFCA Award,Best Actor,1998
197,Al Pacino,Nominee CFCA Award,Best Supporting Actor,1993
198,Al Pacino,Nominee CFCA Award,Best Actor,1993
199,Al Pacino,Nominee CFCA Award,Best Supporting Actor,1991
200,Al Pacino,Nominee DFWFCA Award,Best Supporting Actor,2019
201,Al Pacino,Nominee DFWFCA Award,Best Supporting Actor,1991
202,Al Pacino,Nominee David,Best Foreign Actor (Migliore Attore Straniero),1994
203,Al Pacino,Winner David,Best Foreign Actor (Migliore Attore Straniero),1974
204,Al Pacino,Winner Special David,None,1973
205,Al Pacino,Winner DGA Award,Outstanding Directorial Achievement in Documentary,1997
206,Al Pacino,Nominee Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,2013
207,Al Pacino,Winner Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,2010
208,Al Pacino,Winner Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,2004
209,Al Pacino,Winner Gala Tribute,None,2000
210,Al Pacino,Nominee Golden Apple,Male Star of the Year,1975
211,Al Pacino,Winner Golden Camera for Lifetime Achievement,International,2013
212,Al Pacino,Nominee Golden Globe,Best Performance by an Actor in a Television Series - Drama,2021
213,Al Pacino,Nominee Golden Globe,Best Performance by an Actor in a Supporting Role in a Motion Picture,2020
214,Al Pacino,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2016
215,Al Pacino,Nominee Golden Globe,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,2014
216,Al Pacino,Winner Golden Globe,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,2011
217,Al Pacino,Nominee Satellite Award,Best Actor in a Miniseries or a Motion Picture Made for Television,2014
218,Al Pacino,Winner Satellite Award,Best Actor in a Miniseries or a Motion Picture Made for Television,2010
219,Al Pacino,Nominee Golden Satellite Award,Best Actor in a Miniseries or a Motion Picture Made for Television,2004
220,Al Pacino,Nominee Golden Satellite Award,"Best Performance by an Actor in a Motion Picture, Drama",2000
221,Al Pacino,Winner Lifetime Achievement Award,None,1996
222,Al Pacino,Nominee Grammy,Best Spoken Word Album,2001
223,Al Pacino,Winner Hollywood Film Award,Supporting Actor of the Year,2019
224,Al Pacino,Nominee Truer Than Fiction Award,None,1997
225,Al Pacino,Winner KCFCC Award,Best Actor,1975
226,Al Pacino,Winner Best Actor,None,1980
227,Al Pacino,Nominee ALFS Award,Supporting Actor of the Year,2020
228,Al Pacino,Nominee ALFS Award,Actor of the Year,2003
229,Al Pacino,Winner LAFCA Award,Best Actor,1975
230,Al Pacino,Nominee MTV Movie Award,Best Villain,1998
231,Al Pacino,Winner Icon Award,None,2019
232,Al Pacino,Winner NBR Award,Best Actor,1973
233,Al Pacino,Winner NBR Award,Best Supporting Actor,1972
234,Al Pacino,Nominee NSFC Award,Best Actor,1998
235,Al Pacino,Nominee NSFC Award,Best Supporting Actor,1991
236,Al Pacino,Nominee NSFC Award,Best Actor,1974
237,Al Pacino,Winner NSFC Award,Best Actor,1973
238,Al Pacino,Nominee NYFCC Award,Best Actor,1992
239,Al Pacino,Nominee NYFCC Award,Best Actor,1975
240,Al Pacino,Nominee NYFCC Award,Best Actor,1973
241,Al Pacino,Nominee OFCS Award,Best Supporting Actor,2020
242,Al Pacino,Nominee People,Favorite Motion Picture Actor,1977
243,Al Pacino,Nominee People,Favorite Motion Picture Actor,1976
244,Al Pacino,Nominee People,Favorite Motion Picture Actor,1975
245,Al Pacino,Nominee Gold Medal,Favorite Male Motion Picture Star,1978
246,Al Pacino,Nominee Gold Medal,Favorite Male Star,1976
247,Al Pacino,Winner Razzie Award,Worst Screen Couple,2012
248,Al Pacino,Winner Razzie Award,Worst Supporting Actor,2012
249,Al Pacino,Nominee Razzie Award,Worst Actor,2009
250,Al Pacino,Nominee Razzie Award,Worst Supporting Actor,2004
251,Al Pacino,Nominee Razzie Award,Worst Actor,1986
252,Al Pacino,Nominee SDFCS Award,Best Supporting Actor,2019
253,Al Pacino,Winner Donostia Lifetime Achievement Award,None,1996
254,Al Pacino,Winner Prize San Sebasti,Best Actor,1975
255,Al Pacino,Nominee Actor,Outstanding Performance by a Cast in a Motion Picture,2022
256,Al Pacino,Nominee Actor,Outstanding Performance by a Cast in a Motion Picture,2020
257,Al Pacino,Nominee Actor,Outstanding Performance by a Cast in a Motion Picture,2020
258,Al Pacino,Nominee Actor,Outstanding Performance by a Male Actor in a Supporting Role,2020
259,Al Pacino,Nominee Actor,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,2014
260,Al Pacino,Nominee Teen Choice Award,Choice Movie: Villain,2007
261,Al Pacino,Nominee TCA Award,Individual Achievement in Drama,2004
262,Al Pacino,Winner Best Actor,None,1992
263,Al Pacino,Winner Queer Lion,None,2011
264,Al Pacino,Winner Jaeger,None,2011
265,Al Pacino,Winner Career Golden Lion,None,1994
266,Al Pacino,Winner Film Excellence Award,None,1992
267,Al Pacino,Nominee Chlotrudis Award,Best Actor,1998
268,Al Pacino,Winner Chainsaw Award,Best Actor,1998
269,Al Pacino,Nominee AFCA Award,Best Supporting Actor,2020
270,Al Pacino,Nominee WAFCA Award,Best Supporting Actor,2019
271,Al Pacino,Winner Career Achievement Award,None,2012
272,Al Pacino,Winner Jack Valenti Legend Award,None,2013
273,Al Pacino,Nominee ICS Award,Best Supporting Actor,2020
274,Al Pacino,Nominee NTFCA Award,Best Supporting Actor,2019
275,Al Pacino,Nominee SLFCA Award,Best Supporting Actor,2019
276,Al Pacino,Nominee EDA Award,Best Supporting Actor,2020
277,Al Pacino,Winner EDA Special Mention Award,Most Egregious Age Difference Between the Leading Man and the Love Interest,2016
278,Al Pacino,Nominee EDA Special Mention Award,Most Egregious Age Difference Between the Leading Man and the Love Interest,2008
279,Al Pacino,Nominee IFJA Award,Best Supporting Actor,2021
280,Al Pacino,Nominee IFJA Award,Best Supporting Actor,2019
281,Al Pacino,Nominee Critics,Best Actor in a Movie/Miniseries,2013
282,Al Pacino,Nominee DFCS Award,Best Supporting Actor,2020
283,Al Pacino,Nominee CinEuphoria,Best Ensemble - International Competition,2020
284,Al Pacino,Winner CinEuphoria,Career - Honorary Award,2019
285,Al Pacino,Nominee GAFCA Award,Best Supporting Actor,2020
286,Al Pacino,Nominee Dorian Award,Film Performance of the Year - Supporting Actor,2020
287,Al Pacino,Nominee HFCS Award,Best Supporting Actor,2020
288,Al Pacino,Winner OFTA Film Hall of Fame,Character,2022
289,Al Pacino,Nominee OFTA Film Award,Best Supporting Actor,2020
290,Al Pacino,Nominee OFTA Film Award,Best Ensemble,2020
291,Al Pacino,Nominee OFTA Film Award,Best Ensemble,2020
292,Al Pacino,Nominee OFTA Television Award,Best Actor in a Motion Picture or Miniseries,2013
293,Al Pacino,Nominee ACCA,Best Actor in a Supporting Role,2020
294,Al Pacino,Nominee ACCA,Best Actor in a Leading Role,1992
295,Al Pacino,Nominee ACCA,Best Actor in a Supporting Role,1992
296,Al Pacino,Nominee IOMA,Best Actor (Miglior attore protagonista),2003
297,Al Pacino,Nominee Huading Award,Best Global Supporting Actor in a Motion Picture,2020
298,Al Pacino,Nominee Golden Schmoes,Best Supporting Actor of the Year,2019
299,Al Pacino,Nominee ICP Award,Best Supporting Actor,2019
300,Al Pacino,Nominee Gold Derby Film Award,Ensemble Cast,2020
301,Al Pacino,Nominee Gold Derby Film Award,Ensemble Cast,2020
302,Al Pacino,Nominee Gold Derby Film Award,Supporting Actor,2020
303,Al Pacino,Nominee Gold Derby Film Award,Ensemble of the Decade,2020
304,Al Pacino,Nominee Gold Derby TV Award,TV Movie/Mini Lead Actor,2013
305,Al Pacino,Winner Kennedy Center Honors,None,2016
306,Al Pacino,Nominee Movies for Grownups Award,Best Supporting Actor,2020
307,Al Pacino,Nominee Movies for Grownups Award,Best Grownup Love Story,2006
308,Al Pacino,Winner Yoga Award,Worst Foreign Actor,2009
309,Al Pacino,Nominee AACTA International Award,Best Supporting Actor,2022
310,Al Pacino,Nominee AACTA International Award,Best Supporting Actor,2020
311,Al Pacino,Winner Festival Prize,Jury Special Mention,2017
312,Al Pacino,Nominee HFCS Award,Best Supporting Actor,2020
313,Al Pacino,Nominee NMFC Award,Best Supporting Actor,2019
314,Al Pacino,Nominee MCFCA Award,Best Supporting Actor,2020
315,Al Pacino,Nominee LEJA Award,Best Performance by an Actor in a Supporting Role,2020
316,Al Pacino,Nominee GWNYFCA Award,Best Supporting Actor,2019
317,Al Pacino,Nominee DFCA Award,Best Supporting Actor,2019
318,Al Pacino,Nominee NDFS Award,Best Supporting Actor,2020
319,Al Pacino,Nominee CCA Super Award,Best Actor in an Action Series,2021
320,Al Pacino,Nominee CIC Award,Best Supporting Actor,2020
321,Al Pacino,Nominee COFCA Award,Best Supporting Actor,2020
322,Al Pacino,Nominee SFBAFCC Award,Best Supporting Actor,2019
323,Al Pacino,Nominee Odyssey Award,Best Support Actor,2019
324,Al Pacino,Nominee BFS Award,Best Supporting Actor,2020
325,Al Pacino,Nominee Chosen Oscar,Best Lead Actor,2021
326,Robert De Niro,Nominee Oscar,Best Performance by an Actor in a Supporting Role,2024
327,Robert De Niro,Nominee Oscar,Best Motion Picture of the Year,2020
328,Robert De Niro,Nominee Oscar,Best Performance by an Actor in a Supporting Role,2013
329,Robert De Niro,Nominee Oscar,Best Actor in a Leading Role,1992
330,Robert De Niro,Nominee Oscar,Best Actor in a Leading Role,1991
331,Robert De Niro,Nominee Saturn Award,Best Supporting Actor,1995
332,Robert De Niro,Nominee Saturn Award,Best Supporting Actor,1988
333,Robert De Niro,Nominee American Comedy Award,Funniest Actor in a Motion Picture (Leading Role),2001
334,Robert De Niro,Nominee American Comedy Award,Funniest Actor in a Motion Picture (Leading Role),2000
335,Robert De Niro,Nominee American Comedy Award,Funniest Actor in a Motion Picture (Leading Role),1989
336,Robert De Niro,Winner Life Achievement Award,None,2003
337,Robert De Niro,Nominee Golden Berlin Bear,None,2007
338,Robert De Niro,Winner Silver Berlin Bear,Outstanding Artistic Contribution,2007
339,Robert De Niro,Nominee Blockbuster Entertainment Award,Favorite Actor - Comedy/Romance,2001
340,Robert De Niro,Winner Blockbuster Entertainment Award,Favorite Comedy Team,2000
341,Robert De Niro,Nominee BSFC Award,Best Supporting Actor,1998
342,Robert De Niro,Winner BSFC Award,Best Actor,1981
343,Robert De Niro,Nominee BAFTA Film Award,Best Supporting Actor,2024
344,Robert De Niro,Nominee BAFTA Film Award,Best Film,2020
345,Robert De Niro,Nominee BAFTA Film Award,Best Actor,1991
346,Robert De Niro,Nominee BAFTA Film Award,Best Actor,1984
347,Robert De Niro,Nominee BAFTA Film Award,Best Actor,1982
348,Robert De Niro,Nominee Critics Choice Award,Best Supporting Actor,2024
349,Robert De Niro,Nominee Critics Choice Award,Best Actor,2020
350,Robert De Niro,Nominee Critics Choice Award,Best Actor in a Movie Made for Television or Limited Series,2018
351,Robert De Niro,Nominee Critics Choice Award,Best Actor in a Comedy,2016
352,Robert De Niro,Nominee Critics Choice Award,Best Supporting Actor,2013
353,Robert De Niro,Nominee CFCA Award,Best Actor,2019
354,Robert De Niro,Nominee CFCA Award,Best Actor,1991
355,Robert De Niro,Winner Christopher Award,Film,2003
356,Robert De Niro,Winner Christopher Award,Motion Pictures,1997
357,Robert De Niro,Nominee DFWFCA Award,Best Supporting Actor,2023
358,Robert De Niro,Nominee DFWFCA Award,Best Actor,2019
359,Robert De Niro,Nominee DFWFCA Award,Best Supporting Actor,2012
360,Robert De Niro,Nominee David,Best Foreign Actor (Migliore Attore Straniero),1992
361,Robert De Niro,Nominee David,Best Foreign Actor (Migliore Attore Straniero),1991
362,Robert De Niro,Nominee David,Best Foreign Actor (Migliore Attore Straniero),1981
363,Robert De Niro,Nominee Primetime Emmy,Outstanding Limited Series,2019
364,Robert De Niro,Nominee Primetime Emmy,Outstanding Guest Actor in a Comedy Series,2019
365,Robert De Niro,Nominee Primetime Emmy,Outstanding Lead Actor in a Limited Series or Movie,2017
366,Robert De Niro,Nominee Primetime Emmy,Outstanding Television Movie,2017
367,Robert De Niro,Winner Gala Tribute,None,2017
368,Robert De Niro,Nominee Fotogramas de Plata,Best Foreign Movie Performer (Mejor intérprete extranjero),1982
369,Robert De Niro,Winner Fotogramas de Plata,Best Foreign Movie Performer (Mejor intérprete de cine extranjero),1978
370,Robert De Niro,Winner Excellence in Media Award,None,2016
371,Robert De Niro,Winner Golden Camera for Lifetime Achievement,International,2008
372,Robert De Niro,Nominee Golden Globe,Best Performance by a Male Actor in a Supporting Role in Any Motion Picture,2024
373,Robert De Niro,Nominee Golden Globe,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2018
374,Robert De Niro,Winner Cecil B,None,2011
375,Robert De Niro,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2001
376,Robert De Niro,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2000
377,Robert De Niro,Nominee Satellite Award,Best Actor in a Supporting Role,2024
378,Robert De Niro,Winner Satellite Award,Best Actor in a Miniseries or a Motion Picture Made for Television,2018
379,Robert De Niro,Nominee Satellite Award,Best Actor in a Supporting Role,2012
380,Robert De Niro,Nominee Golden Satellite Award,"Best Performance by an Actor in a Supporting Role, Drama",2001
381,Robert De Niro,Winner Gotham Independent Film Award,Breakthrough Series - Longform,2019
382,Robert De Niro,Nominee Gotham Independent Film Award,Best Ensemble Performance,2012
383,Robert De Niro,Winner Lifetime Achievement Award,None,2001
384,Robert De Niro,Winner Man of the Year,None,1979
385,Robert De Niro,Winner Hollywood Film Award,Comedy of the Year,2016
386,Robert De Niro,Winner Career Achievement Award,None,2015
387,Robert De Niro,Winner Hollywood Film Award,Supporting Actor of the Year,2012
388,Robert De Niro,Winner Hollywood Film Award,Best Actor,2009
389,Robert De Niro,Nominee Silver Ribbon,Best Foreign Actor (Migliore Attore Straniero),1987
390,Robert De Niro,Nominee Silver Ribbon,Best Foreign Actor (Migliore Attore Straniero),1984
