,Actor,Movie,Year,Genre,Rating
1822,Meg Ryan,Bodyswitch - Verhexte Küsse,1992,"['Comedy', 'Fantasy', 'Romance']",5.6
1823,Meg Ryan,The Doors,1991,"['Biography', 'Drama', 'Music']",7.2
1824,Meg Ryan,Joe gegen den Vulkan,1990,"['Comedy', 'Romance']",5.9
1825,Meg Ryan,Harry und Sally,1989,"['Comedy', 'Drama', 'Romance']",7.7
1826,Meg Ryan,Presidio,1988,"['Action', 'Crime', 'Mystery']",5.9
1827,Meg Ryan,D.O.A. - Bei Ankunft Mord,1988,"['Mystery', 'Thriller']",6.1
1828,Meg Ryan,Gelobtes Land,1987,['Drama'],5.7
1829,Meg Ryan,Die Reise ins Ich,1987,"['Action', 'Adventure', 'Comedy']",6.8
1830,Meg Ryan,Zwei Unter Volldampf,1986,"['Action', 'Comedy', 'Crime']",5.7
1831,Meg Ryan,Top Gun,1986,"['Action', 'Drama']",6.9
1832,Meg Ryan,Amityville 3,1983,['Horror'],4.2
1833,Meg Ryan,Die wilden Reichen,1981,['Drama'],5.8
1834,Megan Fox,The Expendables 4,2023,"['Action', 'Adventure', 'Thriller']",4.8
1835,Megan Fox,Johnny & Clyde,2023,"['Action', 'Adventure', 'Crime']",2.7
1836,Megan Fox,Good Mourning,2022,['Comedy'],3.1
1837,Megan Fox,Big Gold Brick,2022,"['Comedy', 'Fantasy']",3.4
1838,Megan Fox,Taurus,2022,"['Biography', 'Drama', 'Music']",4.6
1839,Megan Fox,Night Teeth,2021,"['Action', 'Crime', 'Drama']",5.7
1840,Megan Fox,Till Death: Bis dass dein Tod uns scheidet,2021,['Thriller'],5.9
1841,Megan Fox,Midnight in the Switchgrass,2021,"['Crime', 'Mystery', 'Thriller']",4.5
1842,Megan Fox,Rogue,2020,"['Action', 'Horror', 'Thriller']",4.2
1843,Megan Fox,Denke wie ein Hund,2020,"['Comedy', 'Drama', 'Family']",5.2
1844,Megan Fox,Jangsa-ri 9.15,2019,"['Action', 'Drama', 'War']",6.2
1845,Megan Fox,Zeroville,2019,"['Comedy', 'Drama', 'Mystery']",4.6
1846,Megan Fox,Above the Shadows,2019,"['Drama', 'Fantasy', 'Romance']",6.1
1847,Megan Fox,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"['Action', 'Adventure', 'Comedy']",5.9
1848,Megan Fox,Teenage Mutant Ninja Turtles,2014,"['Action', 'Adventure', 'Comedy']",5.8
1849,Megan Fox,Immer Ärger mit 40,2012,"['Comedy', 'Drama', 'Romance']",6.2
1850,Megan Fox,Der Diktator,2012,['Comedy'],6.5
1851,Megan Fox,Friends with Kids,2011,"['Comedy', 'Drama', 'Romance']",6.1
1852,Megan Fox,Passion Play,2010,"['Drama', 'Fantasy', 'Horror']",4.5
1853,Megan Fox,Jonah Hex,2010,"['Action', 'Drama', 'Fantasy']",4.7
1854,Megan Fox,Jennifer's Body - Jungs nach ihrem Geschmack,2009,"['Comedy', 'Horror']",5.5
1855,Megan Fox,Transformers: Die Rache,2009,"['Action', 'Adventure', 'Sci-Fi']",6.0
1856,Megan Fox,Whore,2008,['Drama'],4.9
1857,Megan Fox,New York für Anfänger,2008,"['Biography', 'Comedy', 'Drama']",6.4
1858,Megan Fox,Transformers,2007,"['Action', 'Adventure', 'Sci-Fi']",7.0
1859,Megan Fox,Bekenntnisse einer Highschool-Diva,2004,"['Comedy', 'Family', 'Music']",4.7
1860,Megan Fox,Bad Boys II,2003,"['Action', 'Comedy', 'Crime']",6.6
1861,Nicole Kidman,Aquaman - Lost Kingdom,2023,"['Action', 'Adventure', 'Fantasy']",5.6
1862,Nicole Kidman,The Northman,2022,"['Action', 'Adventure', 'Drama']",7.0
1863,Nicole Kidman,Being the Ricardos,2021,"['Biography', 'Drama']",6.5
1864,Nicole Kidman,The Prom,2020,"['Comedy', 'Drama', 'Musical']",5.9
1865,Nicole Kidman,Bombshell - Das Ende des Schweigens,2019,"['Biography', 'Drama']",6.8
1866,Nicole Kidman,Der Distelfink,2019,"['Crime', 'Drama', 'Mystery']",6.4
1867,Nicole Kidman,Aquaman,2018,"['Action', 'Adventure', 'Fantasy']",6.8
1868,Nicole Kidman,Der verlorene Sohn,2018,"['Biography', 'Drama']",6.9
1869,Nicole Kidman,Destroyer,2018,"['Action', 'Crime', 'Drama']",6.2
1870,Nicole Kidman,Mein Bester & ich,2017,"['Comedy', 'Drama']",7.0
1871,Nicole Kidman,Die Verführten,2017,"['Drama', 'History', 'Thriller']",6.3
1872,Nicole Kidman,The Killing of a Sacred Deer,2017,"['Drama', 'Horror', 'Mystery']",7.0
1873,Nicole Kidman,How to Talk to Girls at Parties,2017,"['Comedy', 'Music', 'Romance']",5.7
1874,Nicole Kidman,Lion: Der lange Weg nach Hause,2016,"['Biography', 'Drama']",8.0
1875,Nicole Kidman,Genius: Die tausend Seiten einer Freundschaft,2016,"['Biography', 'Drama']",6.5
1876,Nicole Kidman,Die Schutzbrüder,2015,"['Animation', 'Comedy', 'Family']",5.5
1877,Nicole Kidman,Vor ihren Augen,2015,"['Crime', 'Drama', 'Mystery']",6.3
1878,Nicole Kidman,Die gesammelten Peinlichkeiten unserer Eltern in der Reihenfolge ihrer Erstaufführung,2015,"['Comedy', 'Drama', 'Mystery']",6.1
1879,Nicole Kidman,Königin der Wüste,2015,"['Adventure', 'Biography', 'Drama']",5.7
1880,Nicole Kidman,Spurlos - Ein Sturm wird kommen,2015,"['Drama', 'Mystery', 'Thriller']",5.2
1881,Nicole Kidman,Paddington,2014,"['Adventure', 'Comedy', 'Family']",7.3
1882,Nicole Kidman,Ich. Darf. Nicht. Schlafen.,2014,"['Drama', 'Mystery', 'Thriller']",6.3
1883,Nicole Kidman,Grace of Monaco,2014,"['Biography', 'Drama', 'Romance']",5.7
1884,Nicole Kidman,The Railway Man - Die Liebe seines Lebens,2013,"['Biography', 'Drama', 'Romance']",7.1
1885,Nicole Kidman,Stoker - Die Unschuld endet,2013,"['Drama', 'Thriller']",6.7
1886,Nicole Kidman,The Paperboy,2012,"['Crime', 'Drama', 'Mystery']",5.7
1887,Nicole Kidman,Trespass - Auf Leben und Tod,2011,"['Crime', 'Drama', 'Mystery']",5.3
1888,Nicole Kidman,Meine erfundene Frau,2011,"['Comedy', 'Romance']",6.4
1889,Nicole Kidman,Rabbit Hole - Neue Wege,2010,['Drama'],7.0
1890,Nicole Kidman,Nine,2009,"['Drama', 'Musical', 'Romance']",5.8
1891,Nicole Kidman,Australia,2008,"['Adventure', 'Drama', 'Romance']",6.6
1892,Nicole Kidman,Der goldene Kompass,2007,"['Adventure', 'Family', 'Fantasy']",6.1
1893,Nicole Kidman,Margot und die Hochzeit,2007,"['Comedy', 'Drama']",6.0
1894,Nicole Kidman,Invasion,2007,"['Sci-Fi', 'Thriller']",5.9
1895,Nicole Kidman,Happy Feet,2006,"['Animation', 'Adventure', 'Comedy']",6.4
1896,Nicole Kidman,Fell - Ein imaginäres Portrait von Diane Arbus,2006,"['Biography', 'Drama', 'Romance']",6.3
1897,Nicole Kidman,Verliebt in eine Hexe,2005,"['Comedy', 'Fantasy', 'Romance']",4.8
1898,Nicole Kidman,Die Dolmetscherin,2005,"['Crime', 'Mystery', 'Thriller']",6.4
1899,Nicole Kidman,Birth,2004,"['Drama', 'Fantasy', 'Mystery']",6.3
1900,Nicole Kidman,Die Frauen von Stepford,2004,"['Comedy', 'Horror', 'Sci-Fi']",5.3
1901,Nicole Kidman,Unterwegs nach Cold Mountain,2003,"['Adventure', 'Drama', 'Romance']",7.2
1902,Nicole Kidman,Der menschliche Makel,2003,"['Drama', 'Romance', 'Thriller']",6.2
1903,Nicole Kidman,Dogville,2003,"['Crime', 'Drama']",8.0
1904,Nicole Kidman,The Hours - Von Ewigkeit zu Ewigkeit,2002,"['Drama', 'Romance']",7.5
1905,Nicole Kidman,Panic Room,2002,"['Crime', 'Drama', 'Thriller']",6.8
1906,Nicole Kidman,Birthday Girl - Braut auf Bestellung,2001,"['Comedy', 'Crime', 'Thriller']",6.0
1907,Nicole Kidman,The Others,2001,"['Horror', 'Mystery', 'Thriller']",7.6
1908,Nicole Kidman,Moulin Rouge!,2001,"['Drama', 'Musical', 'Romance']",7.6
1909,Nicole Kidman,Eyes Wide Shut,1999,"['Drama', 'Mystery', 'Thriller']",7.5
1910,Nicole Kidman,Zauberhafte Schwestern,1998,"['Comedy', 'Drama', 'Fantasy']",6.3
1911,Nicole Kidman,Projekt: Peacemaker,1997,"['Action', 'Drama', 'Thriller']",6.0
1912,Nicole Kidman,Die Stunde des Verführers,1996,"['Drama', 'Romance', 'Thriller']",5.6
1913,Nicole Kidman,Portrait of a Lady,1996,"['Drama', 'Romance']",6.2
1914,Nicole Kidman,Batman Forever,1995,"['Action', 'Adventure']",5.4
1915,Nicole Kidman,To Die For,1995,"['Comedy', 'Crime', 'Drama']",6.8
1916,Nicole Kidman,Mein Leben für dich,1993,['Drama'],6.8
1917,Nicole Kidman,Malice - Eine Intrige,1993,"['Crime', 'Mystery', 'Thriller']",6.5
1918,Nicole Kidman,In einem fernen Land,1992,"['Adventure', 'Drama', 'Romance']",6.6
1919,Nicole Kidman,Billy Bathgate,1991,"['Crime', 'Drama', 'Thriller']",5.9
1920,Nicole Kidman,Flirting - Spiel mit der Liebe,1991,"['Drama', 'Romance']",7.1
1921,Nicole Kidman,Tage des Donners,1990,"['Action', 'Drama', 'Sport']",6.1
1922,Nicole Kidman,Todesstille,1989,"['Horror', 'Thriller']",6.8
1923,Nicole Kidman,Trendsetters - Jahrmarkt der Illusionen,1988,"['Comedy', 'Drama']",5.2
1924,Nicole Kidman,The Bit Part,1987,['Comedy'],5.1
1925,Nicole Kidman,Wind der Liebe,1986,"['Comedy', 'Drama', 'Romance']",5.1
1926,Nicole Kidman,Wills & Burke,1985,"['Biography', 'Comedy']",4.3
1927,Nicole Kidman,Die BMX-Bande,1983,"['Action', 'Crime', 'Drama']",5.5
1928,Nicole Kidman,40 Grad im Schatten,1983,"['Drama', 'Family']",5.2
1929,Gerard Butler,Kandahar,2023,"['Action', 'Drama', 'Thriller']",6.1
1930,Gerard Butler,Plane,2023,"['Action', 'Adventure', 'Thriller']",6.5
1931,Gerard Butler,Chase,2022,"['Action', 'Adventure', 'Crime']",5.7
1932,Gerard Butler,Copshop,2021,"['Action', 'Thriller']",6.2
1933,Gerard Butler,Greenland,2020,"['Action', 'Thriller']",6.4
1934,Gerard Butler,Angel Has Fallen,2019,"['Action', 'Thriller']",6.4
1935,Gerard Butler,Drachenzähmen leicht gemacht 3: Die geheime Welt,2019,"['Animation', 'Action', 'Adventure']",7.4
1936,Gerard Butler,Keepers - Die Leuchtturmwärter,2018,"['Drama', 'Mystery', 'Thriller']",5.9
1937,Gerard Butler,Hunter Killer,2018,"['Action', 'Thriller']",6.6
1938,Gerard Butler,Criminal Squad,2018,"['Action', 'Crime', 'Drama']",7.0
1939,Gerard Butler,Geostorm,2017,"['Action', 'Sci-Fi', 'Thriller']",5.3
1940,Gerard Butler,Das Glück des Augenblicks,2016,['Drama'],6.5
1941,Gerard Butler,London Has Fallen,2016,"['Action', 'Thriller']",5.9
1942,Gerard Butler,Gods of Egypt,2016,"['Action', 'Adventure', 'Drama']",5.4
1943,Gerard Butler,Drachenzähmen leicht gemacht 2,2014,"['Animation', 'Action', 'Adventure']",7.8
1944,Gerard Butler,Olympus Has Fallen - Die Welt in Gefahr,2013,"['Action', 'Thriller']",6.5
1945,Gerard Butler,Movie 43,2013,['Comedy'],4.3
1946,Gerard Butler,Kiss the Coach,2012,"['Comedy', 'Romance', 'Sport']",5.7
1947,Gerard Butler,Mavericks,2012,"['Biography', 'Drama', 'Sport']",7.1
1948,Gerard Butler,Machine Gun Preacher,2011,"['Action', 'Biography', 'Crime']",6.7
1949,Gerard Butler,Coriolanus,2011,"['Drama', 'Thriller', 'War']",6.1
1950,Gerard Butler,Drachenzähmen leicht gemacht,2010,"['Animation', 'Action', 'Adventure']",8.1
1951,Gerard Butler,Der Kautions-Cop,2010,"['Action', 'Comedy', 'Romance']",5.5
1952,Gerard Butler,Gesetz der Rache,2009,"['Action', 'Crime', 'Drama']",7.4
1953,Gerard Butler,Gamer,2009,"['Action', 'Sci-Fi', 'Thriller']",5.7
1954,Gerard Butler,Die nackte Wahrheit,2009,"['Comedy', 'Romance']",6.4
1955,Gerard Butler,RocknRolla,2008,"['Action', 'Crime', 'Thriller']",7.2
1956,Gerard Butler,Die Insel der Abenteuer,2008,"['Adventure', 'Family', 'Fantasy']",6.0
1957,Gerard Butler,P.S. Ich Liebe Dich,2007,"['Comedy', 'Drama', 'Romance']",7.0
1958,Gerard Butler,Spiel mit der Angst,2007,"['Crime', 'Drama', 'Thriller']",6.6
1959,Gerard Butler,Guilty Hearts,2006,['Drama'],4.6
1960,Gerard Butler,300,2006,"['Action', 'Drama']",7.6
1961,Gerard Butler,Beowulf & Grendel,2005,"['Action', 'Adventure', 'Drama']",5.8
1962,Gerard Butler,Das Spiel ihres Lebens,2005,"['Drama', 'History', 'Sport']",6.1
1963,Gerard Butler,Das Phantom der Oper,2004,"['Drama', 'Musical', 'Romance']",7.2
1964,Gerard Butler,Lieber Frankie,2004,"['Drama', 'Romance']",7.7
1965,Gerard Butler,Timeline,2003,"['Action', 'Adventure', 'Sci-Fi']",5.6
1966,Gerard Butler,Lara Croft - Tomb Raider: Die Wiege des Lebens,2003,"['Action', 'Adventure', 'Fantasy']",5.5
1967,Gerard Butler,Die Herrschaft des Feuers,2002,"['Action', 'Adventure', 'Fantasy']",6.2
1968,Gerard Butler,Shooters,2002,"['Action', 'Crime', 'Drama']",5.4
1969,Gerard Butler,Wes Craven präsentiert Dracula,2000,"['Action', 'Fantasy', 'Horror']",4.9
1970,Gerard Butler,Harrison's Flowers,2000,"['Drama', 'Romance', 'War']",7.0
1971,Gerard Butler,The Cherry Orchard,1999,['Drama'],6.4
1972,Gerard Butler,One More Kiss,1999,"['Drama', 'Romance']",5.8
1973,Gerard Butler,Fast Food,1998,"['Action', 'Comedy']",4.5
1974,Gerard Butler,"Talos, die Mumie",1998,"['Adventure', 'Fantasy', 'Horror']",4.0
1975,Gerard Butler,Der Morgen stirbt nie,1997,"['Action', 'Adventure', 'Thriller']",6.5
1976,Gerard Butler,Ihre Majestät Mrs. Brown,1997,"['Biography', 'Drama', 'History']",7.2
1977,Simon Baker,Limbo,2023,"['Crime', 'Drama', 'Mystery']",6.1
1978,Simon Baker,Blaze,2022,"['Crime', 'Drama', 'Fantasy']",5.9
1979,Simon Baker,High Ground,2020,"['Action', 'Drama', 'Thriller']",6.5
1980,Simon Baker,Im Hier und Jetzt: Der beste Tag meines Lebens,2018,"['Drama', 'Music', 'Romance']",4.5
1981,Simon Baker,Breath,2017,"['Adventure', 'Drama', 'Romance']",6.7
1982,Simon Baker,Das hält kein Jahr ...!,2013,"['Comedy', 'Romance']",5.7
1983,Simon Baker,Der große Crash - Margin Call,2011,"['Drama', 'Thriller']",7.1
1984,Simon Baker,The Killer Inside Me,2010,"['Crime', 'Drama', 'Mystery']",6.1
1985,Simon Baker,Women in Trouble,2009,"['Comedy', 'Drama']",5.6
1986,Simon Baker,Unvergessen,2009,"['Horror', 'Thriller']",4.7
1987,Simon Baker,The Lodger - Der Untermieter,2009,"['Crime', 'Horror', 'Mystery']",5.7
1988,Simon Baker,Der Aufreisser,2007,"['Comedy', 'Drama', 'Fantasy']",5.9
1989,Simon Baker,Der Teufel trägt Prada,2006,"['Comedy', 'Drama']",6.9
1990,Simon Baker,"Neue Liebe, neues Glück",2006,"['Comedy', 'Drama', 'Romance']",6.6
1991,Simon Baker,Land of the Dead,2005,"['Horror', 'Sci-Fi', 'Thriller']",6.2
1992,Simon Baker,Ring 2,2005,"['Horror', 'Mystery']",5.4
1993,Simon Baker,Book of Love,2004,"['Comedy', 'Drama']",5.4
1994,Simon Baker,Das Halsband der Königin,2001,"['Drama', 'History', 'Romance']",6.0
1995,Simon Baker,Red Planet,2000,"['Action', 'Sci-Fi', 'Thriller']",5.7
1996,Simon Baker,Sunset Strip,2000,"['Comedy', 'Drama']",5.6
1997,Simon Baker,Wer mit dem Teufel reitet,1999,"['Drama', 'Romance', 'War']",6.7
1998,Simon Baker,Love from Ground Zero,1998,"['Comedy', 'Drama']",7.4
1999,Simon Baker,Judas Kiss,1998,"['Crime', 'Drama', 'Thriller']",6.1
2000,Simon Baker,Restaurant,1998,['Drama'],6.0
2001,Simon Baker,America's Most Wanted,1997,"['Action', 'Thriller']",5.6
2002,Simon Baker,L.A. Confidential,1997,"['Crime', 'Drama', 'Mystery']",8.2
2003,Cameron Diaz,Annie,2014,"['Comedy', 'Drama', 'Family']",5.4
2004,Cameron Diaz,Sex Tape,2014,"['Comedy', 'Romance']",5.1
2005,Cameron Diaz,Die Schadenfreundinnen,2014,"['Comedy', 'Romance']",6.0
2006,Cameron Diaz,The Counselor,2013,"['Action', 'Adventure', 'Crime']",5.4
2007,Cameron Diaz,In a World ... - Die Macht der Stimme,2013,['Comedy'],6.7
2008,Cameron Diaz,Gambit - Der Masterplan,2012,"['Comedy', 'Crime']",5.7
2009,Cameron Diaz,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,2012,"['Animation', 'Comedy']",5.8
2010,Cameron Diaz,"Was passiert, wenn's passiert ist",2012,"['Comedy', 'Drama', 'Romance']",5.7
2011,Cameron Diaz,Bad Teacher,2011,"['Comedy', 'Romance']",5.7
2012,Cameron Diaz,The Green Hornet,2011,"['Action', 'Comedy', 'Crime']",5.8
2013,Cameron Diaz,Knight and Day,2010,"['Action', 'Adventure', 'Comedy']",6.3
2014,Cameron Diaz,Für immer Shrek,2010,"['Animation', 'Adventure', 'Comedy']",6.3
2015,Cameron Diaz,The Box - Du bist das Experiment,2009,"['Drama', 'Mystery', 'Thriller']",5.6
2016,Cameron Diaz,Beim Leben meiner Schwester,2009,"['Drama', 'Family']",7.3
2017,Cameron Diaz,Love Vegas,2008,"['Comedy', 'Romance']",6.1
2018,Cameron Diaz,Shrek der Dritte,2007,"['Animation', 'Adventure', 'Comedy']",6.1
2019,Cameron Diaz,Liebe braucht keine Ferien,2006,"['Comedy', 'Romance']",6.9
2020,Cameron Diaz,In den Schuhen meiner Schwester,2005,"['Comedy', 'Drama', 'Romance']",6.5
2021,Cameron Diaz,Shrek 2 - Der tollkühne Held kehrt zurück,2004,"['Animation', 'Adventure', 'Comedy']",7.3
2022,Cameron Diaz,3 Engel für Charlie - Volle Power,2003,"['Action', 'Adventure', 'Comedy']",4.9
2023,Cameron Diaz,Gangs of New York,2002,"['Crime', 'Drama']",7.5
2024,Cameron Diaz,Minority Report,2002,"['Action', 'Crime', 'Mystery']",7.6
2025,Cameron Diaz,My Father's House,2002,['Drama'],6.2
2026,Cameron Diaz,Super süß und super sexy,2002,"['Comedy', 'Romance']",5.2
2027,Cameron Diaz,Slackers,2002,"['Comedy', 'Romance']",5.3
2028,Cameron Diaz,Vanilla Sky,2001,"['Fantasy', 'Mystery', 'Romance']",6.9
2029,Cameron Diaz,Shrek - Der tollkühne Held,2001,"['Animation', 'Adventure', 'Comedy']",7.9
2030,Cameron Diaz,The Invisible Circus,2001,['Drama'],5.5
2031,Cameron Diaz,3 Engel für Charlie,2000,"['Action', 'Adventure', 'Comedy']",5.6
2032,Cameron Diaz,"Gefühle, die man sieht... - Things you can tell",2000,"['Drama', 'Romance']",6.4
2033,Cameron Diaz,An jedem verdammten Sonntag,1999,"['Drama', 'Sport']",6.9
2034,Cameron Diaz,Being John Malkovich,1999,"['Comedy', 'Drama', 'Fantasy']",7.7
2035,Cameron Diaz,Man Woman Film,1999,['Comedy'],2.2
2036,Cameron Diaz,Willkommen in Hollywood,1998,['Comedy'],4.9
2037,Cameron Diaz,Very Bad Things,1998,"['Comedy', 'Crime', 'Thriller']",6.3
2038,Cameron Diaz,Verrückt nach Mary,1998,"['Comedy', 'Romance']",7.1
2039,Cameron Diaz,Angst und Schrecken in Las Vegas,1998,"['Adventure', 'Comedy', 'Drama']",7.5
2040,Cameron Diaz,Lebe lieber ungewöhnlich,1997,"['Comedy', 'Crime', 'Fantasy']",6.3
2041,Cameron Diaz,Die Hochzeit meines besten Freundes,1997,"['Comedy', 'Drama', 'Romance']",6.3
2042,Cameron Diaz,Keys to Tulsa,1997,"['Crime', 'Drama', 'Thriller']",5.2
2043,Cameron Diaz,Kopf über Wasser,1996,"['Comedy', 'Thriller']",6.0
2044,Cameron Diaz,Minnesota,1996,"['Comedy', 'Crime', 'Drama']",5.4
2045,Cameron Diaz,She's the One - Eine fürs Leben,1996,"['Comedy', 'Drama', 'Romance']",6.0
2046,Cameron Diaz,Last Supper - Die Henkersmahlzeit,1995,"['Comedy', 'Crime', 'Drama']",6.7
2047,Cameron Diaz,Die Maske,1994,"['Action', 'Comedy', 'Crime']",6.9
2048,Katherine Heigl,Fear of Rain,2021,"['Drama', 'Horror', 'Mystery']",5.9
2049,Katherine Heigl,Operation: Nussknacker 2 - Voll auf die Nüsse,2017,"['Animation', 'Adventure', 'Comedy']",5.5
2050,Katherine Heigl,Unforgettable - Tödliche Liebe,2017,"['Drama', 'Thriller']",5.1
2051,Katherine Heigl,Jenny's Wedding,2015,"['Comedy', 'Drama', 'Romance']",5.6
2052,Katherine Heigl,Home Sweet Hell,2015,"['Comedy', 'Crime', 'Thriller']",5.5
2053,Katherine Heigl,Love Me Like You Do - Aus Schicksal wird Liebe,2014,"['Drama', 'Family', 'Music']",5.9
2054,Katherine Heigl,"Operation: Nussknacker - Auf die Nüsse, fertig, los!",2014,"['Animation', 'Adventure', 'Comedy']",5.7
2055,Katherine Heigl,The Big Wedding,2013,"['Comedy', 'Drama', 'Romance']",5.6
2056,Katherine Heigl,Einmal ist keinmal,2012,"['Action', 'Comedy', 'Crime']",5.3
2057,Katherine Heigl,Happy New Year,2011,"['Comedy', 'Romance']",5.6
2058,Katherine Heigl,So spielt das Leben,2010,"['Comedy', 'Drama', 'Romance']",6.5
2059,Katherine Heigl,Kiss & Kill,2010,"['Action', 'Comedy', 'Romance']",5.4
2060,Katherine Heigl,Die nackte Wahrheit,2009,"['Comedy', 'Romance']",6.4
2061,Katherine Heigl,27 Dresses,2008,"['Comedy', 'Romance']",6.1
2062,Katherine Heigl,Beim ersten Mal,2007,"['Comedy', 'Romance']",6.9
2063,Katherine Heigl,Caffeine,2006,['Comedy'],5.4
2064,Katherine Heigl,Zyzzyx Rd,2006,"['Crime', 'Drama', 'Thriller']",3.8
2065,Katherine Heigl,Dabei sein ist alles,2005,"['Comedy', 'Sport']",5.8
2066,Katherine Heigl,Side Effects,2005,"['Comedy', 'Drama', 'Romance']",4.9
2067,Katherine Heigl,Descendant,2003,"['Horror', 'Thriller']",4.2
2068,Katherine Heigl,"Schrei, wenn Du kannst",2001,"['Horror', 'Mystery', 'Thriller']",4.9
2069,Katherine Heigl,"Eins, zwei, Pie - Wer die Qual hat, hat die Wahl",2000,"['Comedy', 'Romance']",5.8
2070,Katherine Heigl,Bug Buster,1998,"['Comedy', 'Horror', 'Sci-Fi']",3.9
2071,Katherine Heigl,Chucky und seine Braut,1998,"['Comedy', 'Horror', 'Thriller']",5.6
2072,Katherine Heigl,Stardust - Entscheidung in Hollywood,1997,['Drama'],4.7
2073,Katherine Heigl,Prinz Eisenherz,1997,"['Adventure', 'Fantasy', 'Romance']",5.1
2074,Katherine Heigl,Alarmstufe: Rot 2,1995,"['Action', 'Adventure', 'Thriller']",5.5
2075,Katherine Heigl,Daddy Cool,1994,"['Comedy', 'Romance']",5.5
2076,Katherine Heigl,König der Murmelspieler,1993,"['Drama', 'History']",7.3
2077,Katherine Heigl,Sexy Sheryl - Ein heißer Sommer,1992,"['Drama', 'Romance']",6.6
